,Year,Week,Dengue_Count
205,2017,47,24
206,2017,48,38
207,2017,49,34
208,2017,50,40
209,2017,51,51
210,2017,52,66
211,2017,53,0
212,2018,1,83
213,2018,2,68
214,2018,3,54
215,2018,4,45
216,2018,5,48
217,2018,6,50
218,2018,7,28
219,2018,8,39
220,2018,9,51
221,2018,10,37
222,2018,11,39
223,2018,12,36
224,2018,13,24
225,2018,14,38
226,2018,15,38
227,2018,16,56
228,2018,17,56
229,2018,18,77
230,2018,19,62
231,2018,20,64
232,2018,21,65
233,2018,22,54
234,2018,23,75
235,2018,24,55
236,2018,25,61
237,2018,26,76
238,2018,27,58
239,2018,28,44
240,2018,29,41
241,2018,30,56
242,2018,31,51
243,2018,32,59
244,2018,33,43
245,2018,34,68
246,2018,35,75
247,2018,36,76
248,2018,37,49
249,2018,38,63
250,2018,39,40
251,2018,40,51
252,2018,41,51
253,2018,42,62
254,2018,43,78
255,2018,44,74
256,2018,45,71
257,2018,46,78
258,2018,47,97
259,2018,48,109
260,2018,49,114
261,2018,50,108
262,2018,51,128
263,2018,52,160
264,2018,53,0
365,2019,1,207
366,2019,2,245
367,2019,3,215
368,2019,4,222
369,2019,5,182
370,2019,6,138
371,2019,7,235
372,2019,8,182
373,2019,9,157
374,2019,10,134
375,2019,11,109
376,2019,12,97
377,2019,13,100
378,2019,14,108
379,2019,15,125
380,2019,16,135
381,2019,17,157
382,2019,18,194
383,2019,19,287
384,2019,20,309
385,2019,21,378
386,2019,22,401
387,2019,23,400
388,2019,24,467
389,2019,25,433
390,2019,26,497
391,2019,27,593
392,2019,28,664
393,2019,29,647
394,2019,30,605
395,2019,31,600
396,2019,32,523
397,2019,33,524
398,2019,34,476
399,2019,35,414
400,2019,36,330
401,2019,37,318
402,2019,38,301
403,2019,39,261
404,2019,40,246
405,2019,41,228
406,2019,42,239
407,2019,43,242
408,2019,44,308
409,2019,45,322
410,2019,46,373
411,2019,47,334
0,2020,1,302
1,2020,2,342
2,2020,3,403
3,2020,4,308
4,2020,5,369
5,2020,6,399
6,2020,7,379
7,2020,8,380
8,2020,9,373
9,2020,10,374
10,2020,11,388
11,2020,12,367
12,2020,13,376
13,2020,14,314
14,2020,15,342
15,2020,16,359
