Date,0
2017-02-13,188.4418867011688
2017-02-20,259.31155575850744
2017-02-27,29.569985809520006
2017-03-06,2.8190669706160065
2017-03-13,36.9438159922975
2017-03-20,14.502430542158962
2017-03-27,34.463954840909224
2017-04-03,-6.067498723944965
2017-04-10,28.4831926904167
2017-04-17,-2.341154723337695
2017-04-24,72.37734345153984
2017-05-01,35.758691337940476
2017-05-08,78.12134498036075
2017-05-15,107.06880206122389
2017-05-22,124.73039049359588
2017-05-29,139.90304740361535
2017-06-05,130.8407750820304
2017-06-12,89.1331365986822
2017-06-19,154.3001169194663
2017-06-26,199.28613339239905
2017-07-03,219.91015908113215
2017-07-10,157.23969022258993
2017-07-17,129.88276366864682
2017-07-24,57.78441899858515
2017-07-31,82.55714688897602
2017-08-07,74.675265291308
2017-08-14,87.9145255720707
2017-08-21,25.39888941138544
2017-08-28,45.018299584478854
2017-09-04,68.75109400230568
2017-09-11,39.18808854346576
2017-09-18,27.212152971927395
2017-09-25,56.578264713669185
2017-10-02,28.29459423461452
2017-10-09,58.49035342166691
2017-10-16,45.02556529369764
2017-10-23,59.31939839768444
2017-10-30,34.64917754493041
2017-11-06,36.477049246312745
2017-11-13,13.564613655884472
2017-11-20,24.645803553761304
2017-11-27,8.893929702634267
2017-12-04,60.822668837986136
2017-12-11,8.041327626250364
2017-12-18,0.6987696270751513
2017-12-25,-57.88921975173537
2018-01-01,7.741819052744944
2018-01-08,15.272499509358113
2018-01-15,-9.44297497864352
2018-01-22,32.143007578983855
2018-01-29,3.5105580745191673
2018-02-05,-60.986605892621554
2018-02-12,-29.636207506346352
2018-02-19,-50.21554044143369
2018-02-26,-55.17102743675227
2018-03-05,-54.761939490911885
2018-03-12,-56.69236380861061
2018-03-19,-95.31272240485727
2018-03-26,-95.95490401692484
2018-04-02,-103.32314620644937
2018-04-09,-57.297905642846416
2018-04-16,-83.51548892143234
2018-04-23,-13.116869632930772
2018-04-30,34.89899950600669
2018-05-07,3.0604257108643225
2018-05-14,-15.27077318302507
2018-05-21,-15.927150640364971
2018-05-28,60.25654118124248
2018-06-04,62.45539224540158
2018-06-11,68.7740065168937
2018-06-18,54.27481964603078
2018-06-25,83.0762996092034
2018-07-02,97.88266117815797
2018-07-09,70.27596373777774
2018-07-16,23.937905498453304
2018-07-23,-31.408033558180563
2018-07-30,-77.81159570265044
2018-08-06,-64.39389532152401
2018-08-13,-51.90703680800709
2018-08-20,-70.19066676851952
2018-08-27,-49.307849569954406
2018-09-03,-60.62291463814049
